Year,Films,Rotten Tomatoes score,Metacritic,IMDB,Fandango Stars,Run time,Genre,Director
2014,Top Five,86,81,6.5,4,1h 42m,Comedy/ Romance,Chris Rock
2014,Leviathan,99,92,7.7,4,2h 20m,Drama/Crime,Andrey Zvyagintsev
2014,Unbroken,51,59,7.2,4.5,2h 17m,Biography/ History/ Drama/ War,Angelina Jolie
2014,The Imitation Game,90,73,8.1,5,1h 54m,Drama/ History/ Biography,Morten Tyldum
2014,Night at the Museum: Secret of the Tomb,50,47,6.3,4.5,1h 38m,Adventure/ Comedy/ Family/ Fantasy,Shawn Adam Levy
2014,Selma,99,89,7.5,5,2h 8m,Drama/ History,Ava DuVernay
2014,Wild Tales,96,77,8.2,4.5,2h 2m,Comdey/ Thriller/ Drama,Damián Szifron
2014,Annie,27,33,5.2,4.5,1h 58m,Comedy/ Drama/ Family,Will Gluck
2015,Avengers: Age of Ultron,74,66,7.8,5,2h 21m,Action/ Adventure/ SF,Joss Whedon
2015,Cinderella,85,67,7.1,5,1h 45m,Romance/ Fantasy,Kenneth Branagh
2015,Ant-man,80,64,7.8,5,1h 57m,Action/ Fantasy/ Comedy/ Adventure,Peyton Reed
2015,Do You Believe?,18,22,5.4,5,2h,Drama,Jon Gunn
2015,Hot Tub Time Machine 2,14,29,5.1,3.5,1h 33m,Comedy/ SF,Steve Pink
2015,The Water Diviner,63,50,7.2,4.5,1h 51m,Drama/ History/ War,Russell Crowe
2015,Irrational Man,42,53,6.9,4,1h 35m,Comedy/ Romance/ Drama,Woody Allen
2015,Shaun the Sheep Movie,99,81,7.4,4.5,1h 25m,Adventure/ Family/ Animation/ Comedy,"Mark Burton, Richard Starzak"
2015,Love & Mercy,89,80,7.8,4.5,2h,Drama/ Biography/ Music,Bill Pohlad
2015,Far From The Madding Crowd,84,71,7.2,4.5,1h 59m,Drama/ Romance,John Schlesinger
2015,Black Sea,82,62,6.4,4,1h 54m,Mystery and Thriller/ Adventure,Kevin Macdonald
2015,Taken 3,9,26,6.1,4.5,1h 48m,Action/ Mystert and Thriller,Olivier Megaton
2015,Ted 2,46,48,6.6,4.5,1h 55m,Comedy/ Fantasy,Seth MacFarlane
2015,Southpaw,59,57,7.8,5,2h 4m,Drama/ Action/ Sport,Antoine Fuqua
2015,Pixels,17,27,5.6,4.5,1h 45m,Action/ Comedy/ Fantasy,Chris Columbus
2015,"McFarland, USA",79,60,7.5,5,2h 9m,Drama/ Biography/ Sport,Niki Caro
2015,Insidious: Chapter 3,59,52,6.3,4.5,1h 37m,Horror/ Mystery/ Thriller,Leigh Whannell
2015,The Man From U.N.C.L.E,68,55,7.6,4.5,1h 56m,Action/ Adventure/ Comedy,Guy Ritchie
2015,Run All Night ,60,59,6.6,4.5,1h 54m,Action/ Crime/ Thriller,Jaume Collet-Serra
2015,Trainwreck,85,75,6.7,4.5,2h 5m,Comedy/ Drama/ Romance,Judd Apatow
2015,Ex Machina,92,78,7.7,4.5,1h 48m,Drama/ SF/ Thriller,Alex Garland
2015,Still Alice,88,72,7.5,4.5,1h 41m,Drama,"Richard Glatzer, Wash Westmoreland"
2015,The End of the Tour,92,84,7.9,4.5,1h 46m,Biography/ Drama,James Ponsoldt
2015,Red Army,96,82,7.7,4.5,1h 24m,Documentary/ Biography/ History,Gabe Polsky
2015,When Marnie Was There,89,71,7.8,4.5,1h 43m,Family/ Drama/ Mystery/ Fantasy/ Anime,Hiromasa Yonebayashi
2015,The Hunting Ground,92,77,7.5,4.5,1h 43m,Documentary,Kirby Dick
2015,The Boy Next Door,10,30,4.6,4,1h 31m,Thriller,Rob Cohen
2015,Aloha,19,40,5.5,3.5,1h 45m,Comedy/ Drama/ Romance,Cameron Crowe
2015,The Loft,11,24,6.3,4,1h 48m,Mystery/ Romance/ Thriller,Erik Van Looy
2015,5 Flights Up,52,55,6.1,4,1h 28m,Comedy/ Drama,Richard Loncraine
2015,Welcome to Me,71,67,5.9,4,1h 27m,Drama/ Comedy,Shira Piven
2015,Saint Laurent,51,52,6.3,3.5,2h 30m,Biography/ Drama,Jalil Lespertt
2015,Maps to the Stars,60,67,6.3,3.5,1h 51m,Drama/ Comedy,David Cornenberg
2015,I'll See You In My Dreams,94,75,6.9,4,1h 32m,Comedy/ Drama/ Romance,Brett Haley
2015,Timbuktu,99,91,7.2,4,1h 36m,Drama,Abderrahmane Sissako
2015,About Elly,97,87,8.2,4,1h 59m,Drama/ Mystery/ Thriller,Asghar Farhadi
2015,The Diary of a Teenage Girl,95,87,7,4,1h 42m,Comdey/ Drama/ Romance,Marielle Heller
2015,Kingsman: The Secret Service,75,58,7.8,4.5,2h 9m,Action/ Adventure/ Comedy,Matthew Vaughn
2015,Tomorrowland,50,60,6.6,4,2h 10m,Action/ Adventure/ Family,Brad Bird
2015,The Divergent Series: Insurgent,30,42,6.4,4.5,1h 59m,Action/ Adventure/ SF,Robert Schwentke
2015,Fantastic Four,9,27,4,3,1h 40m,Action/ Adventure/ SF,"Josh Trank, Stephen E. Rivkin"
2015,Terminator Genisys,26,38,6.9,4.5,2h 6m,Action/ Adventure/ SF,Alan Taylor
2015,Pitch Perfect 2,67,63,6.7,4.5,1h 55m,Musical/ Comedy,Elizabeth Banks
2015,Entourage,32,38,7.1,4.5,1h 44m,Comedy/ Drama,Doug Ellin
2015,The Age of Adaline,54,51,7.3,4.5,1h 52m,Drama/ Fantasy/ Romance,Lee Toland Krieger